tipo,mese,anno,nome_iniziativa,citta,data_inizio,data_fine,settore,descrizione,azione,responsabile_iniziativa,ufficio
Iniziative promozionali in Italia e all'estero,05,2024,MACFRUT,Rimini,8/5/2024,10/5/2024,Agroalimentare,"Fiera. Incoming operatori esteri, a contributo",Missione di 5 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,05,2024,XYLEXPO,Milano,21/05/2024,24/05/2024,Macchine lavorazione legno,Fiera. Incoming operatori esteri,Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,05,2024,BUSINESS FORUM ITALIA-SERBIA,Trieste,24/05/2024,24/05/2024,Economia circolare,Forum e B2B,"Forum, in collaborazione con l'Ambasciata d'Italia su transizione verde ed economia circolare, con i B2B",,Belgrado
Iniziative promozionali in Italia e all'estero,06,2024,VITIGNO ITALIA,Napoli,2/6/2024,6/6/2024,Vino,Fiera. Incoming operatori esteri,"Missione di 1 operatore serbo. Visita alla Fiera, degustazioni e B2B con gli espositori italiani",,Belgrado
Iniziative promozionali in Italia e all'estero,06,2024,PHYGITAL SOSTAINABILITY EXPO,Roma,4/6/2024,5/6/2024,Tessile,Conferenza. Incoming operatori esteri,Missione di 2 operatori serbi.,,Belgrado
Iniziative promozionali in Italia e all'estero,06,2024,EXPO RIVA SCHUH,Riva del Garda,15/06/2024,18/06/2024,Calzature,"Fiera. Incoming operatori esteri, a contributo",Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,09,2024,FLORMART,Padova,25/09/2024,27/09/2024,Florovivaistico,Fiera. Incoming operatori esteri,Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,09,2024,MICAM,Milano,15/09/2024,17/09/2024,Calzature,Fiera. Incoming operatori esteri a contributo,Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,09,2024,SIMAC TANNING TECH,Milano,17/09/2024,19/09/2024,Macchine per calzature,Fiera. Incoming operatori esteri a contributo,Missione di 3 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,09,2024,B2CHESSE e TERRAMADRE,Bergamo/Torino,25/09/2024,30/09/2024,Alimentare,"Salone formaggio e prodotti alimentari, Incoming",Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,10,2024,INOUT,Rimini,9/10/2024,11/10/2024,Arredamento contract,Fiera. Incoming operatori esteri,Missione di 2 operatori serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,10,2024,BIMU,Milano,9/10/2024,12/10/2024,Macchine utensili,Fiera. Incoming operatori esteri,"Missione di 5 operatori serbi, visita alla fiera e B2B con espositori.",,Belgrado
Iniziative promozionali in Italia e all'estero,11,2024,LAB INNOVA STUDY TOUR,Bologna e dintorni,5/11/2024,9/11/2024,Macchine agricole e alimentari,"Visita alle aziende e alla fiera EIMA, macc. agricole","Missione di 6 operatori serbi, visita alle aziende del comparto e alla Fiera EIMA 2024",,Belgrado
Iniziative promozionali in Italia e all'estero,11,2024,EIMA,Bologna e dintorni,6/11/2024,10/11/2024,Macchine agricole e alimentari,Fiera. Incoming a contributo,"Missione di 6 operatori serbi e 1 giornalista. Visita alla fiera e B2B con espositori, su business agenda",,Belgrado
Iniziative promozionali in loco,01,2024,AGROBELGRADE,Belgrado,25/01/2024,27/01/2024,Macchine agricole,Fiera. Punto informativo,Stand informativo di 9 m2 gratuitamente offerto dalla Fiera di Belgrado,,Belgrado
Iniziative promozionali in loco,01,2024,MISSIONE DI RICOGNIZIONE NEI BALCANI ICE-UCIMU,Belgrado,25/01/2024,29/01/2024,Metalmeccanico,Business tour,Missione UCIMU - visite aziende ed enti in Serbia,,Belgrado
Iniziative promozionali in loco,03,2024,DESIGN DAY 2024,Belgrado,26/03/2024,26/03/2024,Mobili / Arredo,Conferenza e mostra,Conferenza sulle eccellenze di design italiano nel settore dei mobili e mostra sedie storiche,,Belgrado
Iniziative promozionali in loco,05,2024,FIERA DI AGRICOLTURA,Novi Sad,18/05/2024,23/05/2024,Macchine agricole,Partecipazione collettiva italiana alla Fiera,"Stand collettivo di ca. 350 m2, prevista la partecipazione di ca. 20 aziende italiane, in collaborazione con UNACOMA",,Belgrado
Iniziative promozionali in loco,06,2024,LAB INNOVA SUD ED EAST EUROPA 2024,Belgrado,4/6/2024,6/6/2024,Agroalimentare,"Corso di formazione marketing internazionale, tecnologie digitali ed innovative, packaging, sostenibilita'","Corso per circa 20 operatori totali, di cui 3-4 dal Montenegro: importatori di macchine agricole, produttori o trasformatori di latte, carne, verdure e frutta",,Belgrado
Iniziative promozionali in loco,06,2024,FITNESS & BENESSERE Campagna social media,Belgrado,1/6/2024,30/06/2024,Fitness,Campagna social media,Presentazione delle aziende sui social media con i influenser,,Belgrado
Iniziative promozionali in loco,09,2024,SALONE NAUTICO DI GENOVA,Genova,19/09/2024,24/09/2024,Nautica,Fiera. Incoming operatori esteri,Missione di un operatore serbo al Salone Nautico di Genova,,Belgrado
Iniziative promozionali in loco,10,2024,PROMOZIONE ANVE ICE FLOROVIVAISMO,Belgrado,22/10/2024,24/10/2024,Florovivaismo,"Studio di mercato, attivita' di comunicazione, missione operatori italiani in loco con i B2B","Attivita' coordinata tra l'ICE e ANVE (vivaisti esportatori), in collaborazione dell'Associazione serba per l'orticoltura paesaggistica",,Belgrado
Iniziative promozionali in loco,11,2024,SETTIMANA DELLA CUCINA ITALIANA NEL MONDO,Belgrado,18/11/2024,24/11/2024,Agroalimentare,Promozione della cucina italiana,Degustazione di vini italiani,,Belgrado
Iniziative promozionali in loco,11,2024,WINE VISION BY OPEN BALKAN,Belgrado,21/11/2024,24/11/2024,Vino,Padiglione italiano alla Fiera,"Stand ICE con la sala degustazioni per 50 persone per presentare i vini degli espositori selezionati tramite Vinitaly, Verona Fiere",,Belgrado
Iniziative promozionali in Italia e all'estero,02,2025,MIDO,Milano,8/2/2025,10/2/2025,Occhialeria,Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL,Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2025,Fashion & Jewels,Milano,22/02/2025,25/02/2025,Moda accessori moda e bigiotteria,Fiera. Incoming operatori esteri,Missione di 1 operatore serbo. Visita alla Fiera e incontri B2B con gli espositori italiani RINUNCIA,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2025,MICAM,Milano,23/02/2025,25/02/2025,Calzature,Fiera. Incoming operatori esteri a contributo,Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2025,SANA Food & Wine,Bologna,23/02/2025,25/02/2025,Food & Wine,"Fiera, incoming operatori esteri",Missione di 4 operatori serbi. Visita alle Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,03,2025,COSMOPROF WORLDWIDE BOLOGNA,Bologna,20/03/2025,23/03/2025,Cosmetica,Fiera. Incoming operatori esteri,Missione di 4 operatori serbi (1 con trattamento hosted e 3 on site). Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,03,2025,INCOMING MARMO a CUSTONACI,Custonaci,18/03/2025,21/03/2025,Marmo,Incoming operatori esteri,Missione di 3 operatori serbi. Visita alle cave e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,04,2025,SALONE DEL MOBILE,Milano,8/4/2025,13/04/2025,Arredamento,Fiera. Incoming operatori esteri,Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,04,2025,VINITALY,Verona,6/4/2025,9/4/2025,Vino,Fiera. Incoming operatori esteri,"Missione di 8 operatori serbi. Visita alla Fiera, degustazione guidate con consorzi, agenda B2B",,Belgrado
Iniziative promozionali in Italia e all'estero,05,2025,EUROFLORA,Genova,1/5/2025,4/5/2025,Florovivaistico,Fiera. Incoming operatori esteri,"Missione di 5 operatori serbi nel periodo 01-04 maggio 2025. Visita alla Fiera, visite guidate e incontri B2B con gli espositori italiani",,Belgrado
Iniziative promozionali in Italia e all'estero,05,2025,MACFRUT,Cesena,6/5/2025,8/5/2025,Macchine frutticoltura,"Fiera, Incoming operatori",Missione di 5 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,05,2025,GREENPLAST,Milano,27/05/2025,30/05/2025,Plastica,Fiera. Incoming operatori esteri,Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,05,2025,LAMIERA,Milano,3/5/2025,6/5/2025,Metalmeccanica,Fiera delle macchine lavorazione metallo,Missione di 3 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,05,2025,AUTOPROMOTEC,Bologna,21/05/2025,24/05/2025,Officine componentistica,Fiera. Incoming operatori esteri a contributo,Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,09,2025,MICAM,Milano,7/9/2025,9/9/2025,Calzature,Fiera. Incoming operatori esteri a contributo,Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,10,2025,IN OUT,Rimini,8/10/2025,10/10/2025,Arredamento contract,Fiera. Incoming operatori esteri,Missione di 3 operatori serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,10,2025,AGRILEVANTE,Bari,8/10/2025,11/10/2025,Macchine agricole,"Fiera, Incoming operatori esteri",Missione di 8 operatori e 2 giornalisti serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,10,2025,GREENITALY,Parma,15/10/2025,17/10/2025,Florovivaistico,Fiera. Incoming operatori esteri,"Missione di 3 o 4 operatori serbi. Visita alla Fiera, visite guidate e incontri B2B con gli espositori italiani",,Belgrado
Iniziative promozionali in Italia e all'estero,10,2025,CIBUS TEC FORUM,Parma,27/10/2025,30/10/2025,Macchine alimentari,"Fiera, Incoming operatori esteri",Missione di 3 operatori serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,11,2025,GUSTUS,Napoli,15/11/2025,18/11/2025,Prodotti alimentari e vino,"Fiera, Incoming operatori esteri",Missione di 2 operatori serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in Italia e all'estero,11,2025,MADE EXPO,Milano,19/11/2025,22/11/2025,Edilizia,Fiera. Incoming operatori esteri,Missione di 2 operatori serbi. Visita alla fiera e B2B con gli espositori italiani,,Belgrado
Iniziative promozionali in loco,01,2025,BUSINESS FORUM ITALIA-SERBIA,Belgrado,31/01/2025,31/01/2025,Forum Imprenditoriale Italia-Serbia,Forum e B2B,"Forum, in collaborazione con l'Ambasciata d'Italia con i B2B. Settori: Economia circolare e transizione energetica, Agri-tech e Industria 5.0, Infrastrutture fisiche e immateriali",,Belgrado
Iniziative promozionali in loco,02,2025,FIERA DEL TURISMO,Belgrado,20/02/2025,23/02/2025,Turismo,Partecipazione collettiva italiana alla Fiera / B2B,Italia Paese Partner / presenza ENIT,,Belgrado
Iniziative promozionali in loco,03,2025,DESIGN DAY 2025,Belgrado,17/03/2025,17/03/2025,Mobili / Arredo,Mostra /Conferenza,Mostra/Conferenza sulle eccellenze di design italiano nel settore dei mobili.,,Belgrado
Iniziative promozionali in loco,05,2025,FIERA DI AGRICOLTURA,Novi Sad,17/05/2025,22/05/2025,Macchine agricole,Partecipazione collettiva italiana alla Fiera,"Stand collettivo prevista la partecipazione di ca. 20 aziende italiane, in collaborazione con FEDERUNACOMA",,Belgrado
Iniziative promozionali in loco,11,2025,WINE VISION BY OPEN BALKAN,Belgrado,22/11/2025,25/11/2025,Vino,Padiglione italiano alla Fiera,"Stand ICE con la sala degustazioni per 50 persone per presentare i vini degli espositori selezionati tramite Vinitaly, Verona Fiere",,Belgrado
Iniziative promozionali in loco,11,2025,NOTTE DEI VINI ITALIANI,Belgrado,17/11/2025,23/11/2025,Vino,Mini fiera presso mercato di Palilula,Stand di importatori distributori di vino e alimenti italiani,,Belgrado
Iniziative promozionali in loco,11,2025,UCIMU STUDY TOUR,Belgrado,,,Macchine utensili,Study tour,da definire,,Belgrado
Iniziative promozionali in Italia e all'estero,02,2024,MIDO,Milano,2/2/2024,5/2/2024,Occhialeria,Fiera. Incoming operatori esteri a contributo,Missione di 2 operatori montenegrini. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,02,2024,PROMOZIONE DI POMODORO DI PACHINO,Catania,20/02/2024,22/02/2024,Agroalimentare,Mostra. Incoming operatori esteri,Missione di 1 operatore montenegrino. Incontri B2B e visite aziendali,,Podgorica
Iniziative promozionali in Italia e all'estero,03,2024,SIRHA BUDAPEST 2024,Budapest,5/3/2024,7/3/2024,Agroalimentare,Fiera. Incoming operatori esteri,Missione di 1 o 2 operatori montenegrini. Visita alla Fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,05,2024,Salone nautico di Venezia,Venezia,29/05/2024,2/6/2024,Nautico,Fiera Incoming operatori esteri,Missione di 1 operatore montenegrino. Visita alla fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,09,2024,B2CHESSE e TERRAMADRE,Bergamo/Torino,25/09/2024,30/09/2024,Alimentare,"Salone formaggio e prodotti alimentari, Incoming",Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,09,2024,FLORMART,Padova,25/09/2024,27/09/2024,Florovivaistico,Fiera. Incoming operatori esteri,Missione di 2 operatori montenegrini. Visita alla Fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2024,INOUT,Rimini,9/10/2024,11/10/2024,Arredamento contract,Fiera. Incoming operatori esteri,Missione di 2 operatori montenegrini. Visita alla fiera e B2B con gli espositori italiani.,,Podgorica
Iniziative promozionali in Italia e all'estero,11,2024,LAB INNOVA STUDY TOUR,Bologna e dintorni,5/11/2024,9/11/2024,Macchine agricole e alimentari,"Visita alle aziende e alla fiera EIMA, macc. agricole","Missione di 6 operatori montenegrini, visita alle aziende del comparto e alla Fiera EIMA 2024",,Podgorica
Iniziative promozionali in Italia e all'estero,11,2024,EIMA,Bologna e dintorni,6/11/2024,10/11/2024,Macchine agricole e alimentari,Fiera. Incoming a contributo,"Missione di 6 operatori montenegrini. Visita alla fiera e B2B con espositori, su business agenda",,Podgorica
Iniziative promozionali in loco,03,2024,DESIGN DAY 2024,Podgorica,21/03/2024,21/03/2024,Mobili / Arredo,Workshop e mostra,"Workshop su arredi e complementi d'arredo per piccoli spazi domestici, realizzazione di prodotti a impatto zero che consentono il riutilizzo degli sfridi di produzione. Partner locale: Camera degli ingegneri del Montenegro",,Podgorica
Iniziative promozionali in loco,05,2024,FIERA DI AGRICOLTURA,Novi Sad,19/05/2024,22/05/2024,Macchine agricole,Fiera. Incoming operatori montenegrini,"Missione di 2 operatori montenegrini. Partecipazione al seminario, visita alla Fiera e incontri B2B con gli espositori italiani",,Podgorica
Iniziative promozionali in loco,06,2024,LAB INNOVA SUD ED EAST EUROPA 2024,Belgrado,4/6/2024,6/6/2024,Agroalimentare,"Corso di formazione marketing internazionale, tecnologie digitali ed innovative, packaging, sostenibilita'","Corso per circa 20 operatori totali, di cui 3-4 dal Montenegro: importatori di macchine agricole, produttori o trasformatori di latte, carne, verdure e frutta",,Podgorica
Iniziative promozionali in loco,07,2024,PROMOZIONE CON LA GDO,Podgorica e Budva,1/7/2024,31/08/2024,Agroalimentare,Follow up Promozione di prodotti italiani con la GDO DomaÄ‡a Trgovina,Promozione di prodotti agroalimentari italiani presso i punti vendita di Podgorica e Budva. Partner locale: GDO DomaÄ‡a trgovina e la Facolta' alberghiera HEC di Budva,,Podgorica
Iniziative promozionali in loco,11,2024,SETTIMANA DELLA CUCINA ITALIANA NEL MONDO,Podgorica,18/11/2024,24/11/2024,Agroalimentare,Promozione della cucina italiana,Presentazione di piatti regionali con il coinvolgimento di un Chef italiano e in collaborazione con l'Istituto alberghiero di Roccaraso. Partner locale: Facolta' alberghiera HEC di Budva,,Podgorica
Iniziative promozionali in Italia e all'estero,02,2025,MIDO,Milano,8/2/2025,10/2/2025,Occhialeria,Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL,Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,04,2025,VINITALY,Verona,6/4/2025,9/4/2025,Vino,Fiera. Incoming operatori esteri,"Missione di 2 operatori montenegrini. Visita alla Fiera, degustazione guidate con consorzi, agenda B2B",,Podgorica
Iniziative promozionali in Italia e all'estero,05,2025,FIERA DI AGRICOLTURA,Novi Sad,17/05/2025,22/05/2025,Macchine agricole,Fiera. Incoming operatori esteri,Missione di 3 operatori montenegrini. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,05,2025,ORBDays 2025,Riva del Garda,25/05/2025,26/05/2025,Outdoor & Running business days,Fiera Incoming operatori esteri,Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,05,2025,SALONE NAUTICO VENEZIA,Venezia,28/05/2025,30/05/2025,Nautica,Fiera. Incoming operatori esteri,Missione di 1 operatore montenegrino. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2025,HOST,Milano,17/10/2025,21/10/2025,Fiera internazionale della ristorazione e dell'accoglienza professionale,Fiera. Incoming operatori esteri,Missione di 2 operatori montenegrini. Visita alla Fiera e incontri B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2025,GREENITALY,Parma,15/10/2025,17/10/2025,Florovivaistico,Fiera. Incoming operatori esteri,nessun operatore registrato,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2025,AGRILEVANTE,Bari,9/10/2025,12/10/2025,Meccanizzazione agricola,Fiera. Incoming operatori esteri,Missione di 3 operatori montenegrini. Visita alla Fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2025,INOUT,Rimini,8/10/2025,10/10/2025,Contract-ospitalita',Fiera. Incoming operatori esteri,Missione di 1 operatore montenegrino. Visita alla Fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,10,2025,SNIM-SALONE NAUTICO,Brindisi,9/10/2025,13/10/2025,Nautica,Fiera. Incoming di operatori esteri,"Missione di 1 operatore montenegrino, visita alla Fiera e B2B con gli espositori italiani",,Podgorica
Iniziative promozionali in Italia e all'estero,11,2025,R.I.V.E.-RASSEGNA INTERNAZIONALE VITICOLTURA ENOLOGIA,Pordenone,5/11/2025,7/11/2025,Viticoltura,Fiera. Incoming di operatori esteri,Missione di 1 partecipante montenegrino. Visita alla Fiera e B2B con gli espositori italiani,,Podgorica
Iniziative promozionali in Italia e all'estero,11,2025,MADE EXPO,Milano,19/11/2025,22/11/2025,Edilizia costruzioni,Fiera. Incoming di operatori esteri,nessun operatore registrato,,Podgorica
Iniziative promozionali in loco,04,2025,STUDY VISIT,Podgorica,3/4/2025,3/4/2025,Study tour imprenditoriale Italia - Montenegro,Evento,"Evento intitolato Dialogo economico Montenegro-Italia promosso dall'Ambasciata e l'ICE in collaborazione con Camera dell'Economia del Montenegro. Presentazione dei progetti nel settore delle infrastrutture, energia, agricoltura, ambiente e turismo in Montenegro. A seguire B2B e B2G tra gli imprenditori e le associazioni italiane e montenegrine",,Podgorica
Iniziative promozionali in loco,04,2025,DESIGN DAY 2025,Podgorica,10/4/2025,10/4/2025,DISUGUAGLIANZE - il design per una vita migliore,Seminario/Workshop,"Evento intitolato DISUGUAGLIANZE - il design per una vita migliore promosso dall'ICE e l'Ambasciata in collaborazione con Camera degli Ingegneri di Montenegro. L'evento si Ã¨ svolto presso il Centro Musicale del Montenegro ed Ã¨ stata un'occasione di confronto tra il modello italiano di design, improntato all'inclusivitÃ  e alla funzionalitÃ , e la realtÃ  architettonica e progettuale montenegrina",,Podgorica
Iniziative promozionali in loco,11,2025,FORMAZIONE TECNICA ARCHITETTI INGEGNERI E PROGETTISTI MONTENEGRINI SULLA SOSTENIBILITA' NELL'ARREDAMENTO DEGLI ALBERGHI,Podgorica,14/11/2025,14/11/2025,Arredamento,Seminario/workshop,Formazione di professionisti montenegrini nel settore edilizio e alberghiero su soluzioni di arredamento sostenibile. Partecipazione di 2 architetti italiani e 1 montenegrino,,Podgorica
Iniziative promozionali in loco,11,2025,SETTIMANA DELLA CUCINA ITALIANA,Podgorica,,,Agroalimentare,Promozione della cucina italiana/formazione,da definire,,Podgorica
Iniziative promozionali in Italia e all'estero,4,2026,VINITALY,Verona,12/4/2026,15/4/2026,Vini,Fiera. Incoming operatori esteri,8 operatori serbi e 2 montenegrini,AD,Belgrado e Podgorica
Iniziative promozionali in Italia e all'estero,2,2026,Giochi olimpici invernali - evento di presentazione articoli sportivi,Cortina d'Ampezzo,7/2/2026,9/2/2026,Articoli sportivi,Evento di networking e B2B,1 operatore serbo,AD,Belgrado
Iniziative promozionali in loco,5,2026,FIERA DI AGRICOLTURA,Novi Sad,16/05/2026,21/06/2025,Macchine agricole,Partecipazione collettiva italiana alla Fiera,Stand collettivo ,,Belgrado
Iniziative promozionali in loco,2,2026,Horeca Equipment Fair,Belgrado,19/02/2026,22/02/2026,Horeca,Presenza istituzionale con 5 aziende Italiane,Stand colletivo,AD,Belgrado
Iniziative promozionali in Italia e all'estero,02,2026,MIDO,Milano,31/1/2026,2/2/2026,Occhialeria,Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL,Missione di 2 operatori serbi. Visita alla Fiera. Il 30/1/2026 la giornata Preview con incontri B2B con 63 espositori italiani selezionati  ,,
